ID,SRC_NAME,HIGH_PRCN_LAT,HIGH_PRCN_LON,ELEVATION
EGXC,CONINGSBY,53.09352,-0.17119,6
EGXD,DISHFORTH AIRFIELD,54.1346,-1.41293,33
EGXG,CHURCH FENTON,53.8356,-1.1973,8
EGXH,HONINGTON,52.33996,0.77203,51
EGXJ,COTTESMORE,52.72698,-0.65439,138
EGXK,DONNA NOOK,53.52194,0.15728,11
EGXN,NEWTON,53.01523,-0.93559,55
EGXP,SCAMPTON,53.3066,-0.54649,57
EGXS,SWINDERBY,53.19729,-0.62866,17
EGXT,WITTERING,52.61099,-0.45963,73
EGXU,LINTON ON OUSE,54.04502,-1.24956,14
EGXV,LECONFIELD,53.87437,-0.44009,7
EGXW,WADDINGTON,53.17509,-0.52173,68
EGXX,DONNA NOOK NO 2,53.47455,0.1546,8
EGXZ,TOPCLIFFE AIRFIELD,54.26307,-1.31827,28
EGYC,COLTISHALL,52.75633,1.35321,17
EGYD,CRANWELL,53.03088,-0.50194,62
EGYE,BARKSTON HEATH AIRFIELD,53.01071,-0.51383,112
EGYH,HOLBEACH NO 2,52.8729,0.14021,3
EGYM,MARHAM,52.65096,0.56772,21
EGYW,WAINFLEET NO 2,53.08802,0.27265,3
EGCC,RINGWAY,53.35589,-2.27949,69
EGNC,CARLISLE AIRPORT,55.00234,-2.75675,58
EGNM,LEEDS AND BRADFORD,53.92816,-1.5979,210
EGOM,SPADEADAM NO 2,55.05013,-2.55297,285
EGPE,DALCROSS,57.54196,-4.06096,11
EGPT,PERTH AERODROME,56.43671,-3.37054,118
EGXE,LEEMING,54.29682,-1.53145,33
